"Tiedot";"Vuosi";"Alue";"Puolue";"Yhteensä";"Miehet";"Naiset"
"Ehdokkaiden lukumäärä";"2021";"109 Hämeenlinna";"Yhteensä";343;203;140
"Ehdokkaiden lukumäärä";"2021";"111 Heinola";"Yhteensä";177;105;72
"Ehdokkaiden lukumäärä";"2021";"398 Lahti";"Yhteensä";544;342;202
"Ehdokkaiden lukumäärä";"2021";"694 Riihimäki";"Yhteensä";209;112;97
"Ehdokkaiden lukumäärä";"2021";"016 Asikkala";"Yhteensä";88;55;33
"Ehdokkaiden lukumäärä";"2021";"082 Hattula";"Yhteensä";82;48;34
"Ehdokkaiden lukumäärä";"2021";"165 Janakkala";"Yhteensä";166;91;75
"Ehdokkaiden lukumäärä";"2021";"560 Orimattila";"Yhteensä";130;82;48
"Ehdokkaiden lukumäärä";"2021";"081 Hartola";"Yhteensä";51;34;17
"Ehdokkaiden lukumäärä";"2021";"086 Hausjärvi";"Yhteensä";89;48;41
"Ehdokkaiden lukumäärä";"2021";"103 Humppila";"Yhteensä";46;30;16
"Ehdokkaiden lukumäärä";"2021";"142 Iitti";"Yhteensä";66;39;27
"Ehdokkaiden lukumäärä";"2021";"169 Jokioinen";"Yhteensä";80;39;41
"Ehdokkaiden lukumäärä";"2021";"316 Kärkölä";"Yhteensä";64;47;17
"Ehdokkaiden lukumäärä";"2021";"433 Loppi";"Yhteensä";113;59;54
"Ehdokkaiden lukumäärä";"2021";"576 Padasjoki";"Yhteensä";56;36;20
"Ehdokkaiden lukumäärä";"2021";"781 Sysmä";"Yhteensä";64;34;30
"Ehdokkaiden lukumäärä";"2021";"834 Tammela";"Yhteensä";81;52;29
"Ehdokkaiden lukumäärä";"2021";"981 Ypäjä";"Yhteensä";66;35;31
"Ehdokkaiden lukumäärä";"2021";"211 Kangasala";"Yhteensä";227;137;90
"Ehdokkaiden lukumäärä";"2021";"418 Lempäälä";"Yhteensä";190;107;83
"Ehdokkaiden lukumäärä";"2021";"536 Nokia";"Yhteensä";271;169;102
"Ehdokkaiden lukumäärä";"2021";"604 Pirkkala";"Yhteensä";191;115;76
"Ehdokkaiden lukumäärä";"2021";"837 Tampere";"Yhteensä";651;366;285
"Ehdokkaiden lukumäärä";"2021";"908 Valkeakoski";"Yhteensä";164;99;65
"Ehdokkaiden lukumäärä";"2021";"980 Ylöjärvi";"Yhteensä";199;114;85
"Ehdokkaiden lukumäärä";"2021";"020 Akaa";"Yhteensä";164;103;61
"Ehdokkaiden lukumäärä";"2021";"108 Hämeenkyrö";"Yhteensä";108;65;43
"Ehdokkaiden lukumäärä";"2021";"508 Mänttä-Vilppula";"Yhteensä";83;51;32
"Ehdokkaiden lukumäärä";"2021";"562 Orivesi";"Yhteensä";118;63;55
"Ehdokkaiden lukumäärä";"2021";"581 Parkano";"Yhteensä";103;71;32
"Ehdokkaiden lukumäärä";"2021";"790 Sastamala";"Yhteensä";173;107;66
"Ehdokkaiden lukumäärä";"2021";"143 Ikaalinen";"Yhteensä";88;55;33
"Ehdokkaiden lukumäärä";"2021";"177 Juupajoki";"Yhteensä";34;17;17
"Ehdokkaiden lukumäärä";"2021";"250 Kihniö";"Yhteensä";42;21;21
"Ehdokkaiden lukumäärä";"2021";"291 Kuhmoinen";"Yhteensä";42;25;17
"Ehdokkaiden lukumäärä";"2021";"619 Punkalaidun";"Yhteensä";46;31;15
"Ehdokkaiden lukumäärä";"2021";"635 Pälkäne";"Yhteensä";89;52;37
"Ehdokkaiden lukumäärä";"2021";"702 Ruovesi";"Yhteensä";67;31;36
"Ehdokkaiden lukumäärä";"2021";"887 Urjala";"Yhteensä";52;30;22
"Ehdokkaiden lukumäärä";"2021";"922 Vesilahti";"Yhteensä";52;25;27
"Ehdokkaiden lukumäärä";"2021";"936 Virrat";"Yhteensä";74;41;33
"Ehdokkaiden lukumäärä";"2021";"075 Hamina";"Yhteensä";138;91;47
"Ehdokkaiden lukumäärä";"2021";"153 Imatra";"Yhteensä";192;122;70
"Ehdokkaiden lukumäärä";"2021";"285 Kotka";"Yhteensä";320;203;117
"Ehdokkaiden lukumäärä";"2021";"286 Kouvola";"Yhteensä";369;236;133
"Ehdokkaiden lukumäärä";"2021";"405 Lappeenranta";"Yhteensä";347;230;117
"Ehdokkaiden lukumäärä";"2021";"491 Mikkeli";"Yhteensä";288;183;105
"Ehdokkaiden lukumäärä";"2021";"740 Savonlinna";"Yhteensä";199;137;62
"Ehdokkaiden lukumäärä";"2021";"593 Pieksämäki";"Yhteensä";129;85;44
"Ehdokkaiden lukumäärä";"2021";"046 Enonkoski";"Yhteensä";31;22;9
"Ehdokkaiden lukumäärä";"2021";"097 Hirvensalmi";"Yhteensä";46;32;14
"Ehdokkaiden lukumäärä";"2021";"178 Juva";"Yhteensä";59;36;23
"Ehdokkaiden lukumäärä";"2021";"213 Kangasniemi";"Yhteensä";64;36;28
"Ehdokkaiden lukumäärä";"2021";"416 Lemi";"Yhteensä";43;26;17
"Ehdokkaiden lukumäärä";"2021";"441 Luumäki";"Yhteensä";69;44;25
"Ehdokkaiden lukumäärä";"2021";"489 Miehikkälä";"Yhteensä";43;23;20
"Ehdokkaiden lukumäärä";"2021";"507 Mäntyharju";"Yhteensä";90;55;35
"Ehdokkaiden lukumäärä";"2021";"580 Parikkala";"Yhteensä";81;48;33
"Ehdokkaiden lukumäärä";"2021";"588 Pertunmaa";"Yhteensä";38;23;15
"Ehdokkaiden lukumäärä";"2021";"623 Puumala";"Yhteensä";40;26;14
"Ehdokkaiden lukumäärä";"2021";"624 Pyhtää";"Yhteensä";62;38;24
"Ehdokkaiden lukumäärä";"2021";"681 Rantasalmi";"Yhteensä";44;28;16
"Ehdokkaiden lukumäärä";"2021";"689 Rautjärvi";"Yhteensä";48;35;13
"Ehdokkaiden lukumäärä";"2021";"700 Ruokolahti";"Yhteensä";63;33;30
"Ehdokkaiden lukumäärä";"2021";"739 Savitaipale";"Yhteensä";57;36;21
"Ehdokkaiden lukumäärä";"2021";"768 Sulkava";"Yhteensä";43;23;20
"Ehdokkaiden lukumäärä";"2021";"831 Taipalsaari";"Yhteensä";49;25;24
"Ehdokkaiden lukumäärä";"2021";"935 Virolahti";"Yhteensä";47;24;23
"Ehdokkaiden lukumäärä";"2021";"140 Iisalmi";"Yhteensä";154;92;62
"Ehdokkaiden lukumäärä";"2021";"167 Joensuu";"Yhteensä";477;301;176
"Ehdokkaiden lukumäärä";"2021";"297 Kuopio";"Yhteensä";507;316;191
"Ehdokkaiden lukumäärä";"2021";"915 Varkaus";"Yhteensä";147;96;51
"Ehdokkaiden lukumäärä";"2021";"276 Kontiolahti";"Yhteensä";132;79;53
"Ehdokkaiden lukumäärä";"2021";"309 Outokumpu";"Yhteensä";111;71;40
"Ehdokkaiden lukumäärä";"2021";"422 Lieksa";"Yhteensä";113;71;42
"Ehdokkaiden lukumäärä";"2021";"541 Nurmes";"Yhteensä";122;81;41
"Ehdokkaiden lukumäärä";"2021";"749 Siilinjärvi";"Yhteensä";145;98;47
"Ehdokkaiden lukumäärä";"2021";"778 Suonenjoki";"Yhteensä";83;53;30
"Ehdokkaiden lukumäärä";"2021";"090 Heinävesi";"Yhteensä";57;36;21
"Ehdokkaiden lukumäärä";"2021";"146 Ilomantsi";"Yhteensä";56;33;23
"Ehdokkaiden lukumäärä";"2021";"171 Joroinen";"Yhteensä";49;27;22
"Ehdokkaiden lukumäärä";"2021";"176 Juuka";"Yhteensä";71;47;24
"Ehdokkaiden lukumäärä";"2021";"204 Kaavi";"Yhteensä";49;30;19
"Ehdokkaiden lukumäärä";"2021";"239 Keitele";"Yhteensä";44;28;16
"Ehdokkaiden lukumäärä";"2021";"260 Kitee";"Yhteensä";120;80;40
"Ehdokkaiden lukumäärä";"2021";"263 Kiuruvesi";"Yhteensä";109;75;34
"Ehdokkaiden lukumäärä";"2021";"402 Lapinlahti";"Yhteensä";134;77;57
"Ehdokkaiden lukumäärä";"2021";"420 Leppävirta";"Yhteensä";101;62;39
"Ehdokkaiden lukumäärä";"2021";"426 Liperi";"Yhteensä";111;70;41
"Ehdokkaiden lukumäärä";"2021";"595 Pielavesi";"Yhteensä";68;43;25
"Ehdokkaiden lukumäärä";"2021";"607 Polvijärvi";"Yhteensä";69;41;28
"Ehdokkaiden lukumäärä";"2021";"686 Rautalampi";"Yhteensä";56;33;23
"Ehdokkaiden lukumäärä";"2021";"687 Rautavaara";"Yhteensä";28;17;11
"Ehdokkaiden lukumäärä";"2021";"707 Rääkkylä";"Yhteensä";56;36;20
"Ehdokkaiden lukumäärä";"2021";"762 Sonkajärvi";"Yhteensä";51;29;22
"Ehdokkaiden lukumäärä";"2021";"844 Tervo";"Yhteensä";31;19;12
"Ehdokkaiden lukumäärä";"2021";"848 Tohmajärvi";"Yhteensä";70;46;24
"Ehdokkaiden lukumäärä";"2021";"857 Tuusniemi";"Yhteensä";59;33;26
"Ehdokkaiden lukumäärä";"2021";"921 Vesanto";"Yhteensä";45;25;20
"Ehdokkaiden lukumäärä";"2021";"925 Vieremä";"Yhteensä";51;36;15
"Ehdokkaiden lukumäärä";"2021";"231 Kaskinen";"Yhteensä";49;28;21
"Ehdokkaiden lukumäärä";"2021";"272 Kokkola";"Yhteensä";353;216;137
"Ehdokkaiden lukumäärä";"2021";"598 Pietarsaari";"Yhteensä";148;90;58
"Ehdokkaiden lukumäärä";"2021";"743 Seinäjoki";"Yhteensä";320;201;119
"Ehdokkaiden lukumäärä";"2021";"905 Vaasa";"Yhteensä";382;232;150
"Ehdokkaiden lukumäärä";"2021";"005 Alajärvi";"Yhteensä";112;73;39
"Ehdokkaiden lukumäärä";"2021";"010 Alavus";"Yhteensä";132;85;47
"Ehdokkaiden lukumäärä";"2021";"145 Ilmajoki";"Yhteensä";109;62;47
"Ehdokkaiden lukumäärä";"2021";"232 Kauhajoki";"Yhteensä";132;98;34
"Ehdokkaiden lukumäärä";"2021";"233 Kauhava";"Yhteensä";155;95;60
"Ehdokkaiden lukumäärä";"2021";"301 Kurikka";"Yhteensä";195;120;75
"Ehdokkaiden lukumäärä";"2021";"399 Laihia";"Yhteensä";81;57;24
"Ehdokkaiden lukumäärä";"2021";"408 Lapua";"Yhteensä";144;85;59
"Ehdokkaiden lukumäärä";"2021";"499 Mustasaari";"Yhteensä";109;71;38
"Ehdokkaiden lukumäärä";"2021";"052 Evijärvi";"Yhteensä";33;27;6
"Ehdokkaiden lukumäärä";"2021";"074 Halsua";"Yhteensä";26;17;9
"Ehdokkaiden lukumäärä";"2021";"151 Isojoki";"Yhteensä";40;30;10
"Ehdokkaiden lukumäärä";"2021";"152 Isokyrö";"Yhteensä";87;54;33
"Ehdokkaiden lukumäärä";"2021";"217 Kannus";"Yhteensä";75;47;28
"Ehdokkaiden lukumäärä";"2021";"218 Karijoki";"Yhteensä";30;18;12
"Ehdokkaiden lukumäärä";"2021";"236 Kaustinen";"Yhteensä";65;39;26
"Ehdokkaiden lukumäärä";"2021";"280 Korsnäs";"Yhteensä";33;21;12
"Ehdokkaiden lukumäärä";"2021";"287 Kristiinankaupunki";"Yhteensä";65;40;25
"Ehdokkaiden lukumäärä";"2021";"288 Kruunupyy";"Yhteensä";59;33;26
