"Tiedot";"Vuosi";"Alue";"Äänestäneitä miehiä";"Äänestäneitä naisia"
"Äänestysprosentti";"2021";"182 Jämsä";52.2;53.5
"Äänestysprosentti";"2021";"249 Keuruu";53.1;55.9
"Äänestysprosentti";"2021";"410 Laukaa";52.6;52.5
"Äänestysprosentti";"2021";"500 Muurame";57.8;58.8
"Äänestysprosentti";"2021";"992 Äänekoski";50.8;51.8
"Äänestysprosentti";"2021";"077 Hankasalmi";52.3;54.7
"Äänestysprosentti";"2021";"172 Joutsa";54.4;57.0
"Äänestysprosentti";"2021";"216 Kannonkoski";57.2;58.3
"Äänestysprosentti";"2021";"226 Karstula";54.3;58.6
"Äänestysprosentti";"2021";"256 Kinnula";75.3;82.8
"Äänestysprosentti";"2021";"265 Kivijärvi";55.2;58.5
"Äänestysprosentti";"2021";"275 Konnevesi";52.9;57.3
"Äänestysprosentti";"2021";"312 Kyyjärvi";65.1;66.7
"Äänestysprosentti";"2021";"435 Luhanka";66.7;77.1
"Äänestysprosentti";"2021";"495 Multia";52.1;57.3
"Äänestysprosentti";"2021";"592 Petäjävesi";55.1;59.4
"Äänestysprosentti";"2021";"601 Pihtipudas";53.1;56.3
"Äänestysprosentti";"2021";"729 Saarijärvi";51.4;53.8
"Äänestysprosentti";"2021";"850 Toivakka";57.7;60.6
"Äänestysprosentti";"2021";"892 Uurainen";54.3;59.3
"Äänestysprosentti";"2021";"931 Viitasaari";51.5;55.1
"Äänestysprosentti";"2021";"205 Kajaani";46.4;46.7
"Äänestysprosentti";"2021";"244 Kempele";52.8;55.0
"Äänestysprosentti";"2021";"564 Oulu";50.7;53.9
"Äänestysprosentti";"2021";"678 Raahe";48.8;52.5
"Äänestysprosentti";"2021";"069 Haapajärvi";53.0;57.2
"Äänestysprosentti";"2021";"139 Ii";52.7;55.6
"Äänestysprosentti";"2021";"208 Kalajoki";54.6;57.4
"Äänestysprosentti";"2021";"290 Kuhmo";49.0;50.8
"Äänestysprosentti";"2021";"305 Kuusamo";52.2;55.2
"Äänestysprosentti";"2021";"425 Liminka";54.6;56.9
"Äänestysprosentti";"2021";"494 Muhos";51.1;53.2
"Äänestysprosentti";"2021";"535 Nivala";56.0;57.2
"Äänestysprosentti";"2021";"563 Oulainen";56.0;57.3
"Äänestysprosentti";"2021";"765 Sotkamo";52.2;54.0
"Äänestysprosentti";"2021";"977 Ylivieska";49.9;51.5
"Äänestysprosentti";"2021";"009 Alavieska";56.9;61.5
"Äänestysprosentti";"2021";"071 Haapavesi";53.7;58.7
"Äänestysprosentti";"2021";"072 Hailuoto";64.9;77.5
"Äänestysprosentti";"2021";"105 Hyrynsalmi";46.3;48.3
"Äänestysprosentti";"2021";"317 Kärsämäki";55.7;61.1
"Äänestysprosentti";"2021";"436 Lumijoki";55.9;61.3
"Äänestysprosentti";"2021";"483 Merijärvi";63.0;71.8
"Äänestysprosentti";"2021";"578 Paltamo";48.2;50.8
"Äänestysprosentti";"2021";"615 Pudasjärvi";51.3;54.6
"Äänestysprosentti";"2021";"620 Puolanka";50.6;55.2
"Äänestysprosentti";"2021";"625 Pyhäjoki";57.6;64.0
"Äänestysprosentti";"2021";"626 Pyhäjärvi";55.5;55.0
"Äänestysprosentti";"2021";"630 Pyhäntä";59.8;65.4
"Äänestysprosentti";"2021";"691 Reisjärvi";58.8;65.8
"Äänestysprosentti";"2021";"697 Ristijärvi";52.6;54.3
"Äänestysprosentti";"2021";"746 Sievi";52.4;56.2
"Äänestysprosentti";"2021";"748 Siikajoki";53.7;58.2
"Äänestysprosentti";"2021";"777 Suomussalmi";47.2;50.5
"Äänestysprosentti";"2021";"785 Vaala";56.1;60.8
"Äänestysprosentti";"2021";"791 Siikalatva";54.1;57.9
"Äänestysprosentti";"2021";"832 Taivalkoski";58.4;60.9
"Äänestysprosentti";"2021";"859 Tyrnävä";54.5;58.6
"Äänestysprosentti";"2021";"889 Utajärvi";57.4;62.0
"Äänestysprosentti";"2021";"240 Kemi";50.2;51.9
"Äänestysprosentti";"2021";"698 Rovaniemi";49.1;51.5
"Äänestysprosentti";"2021";"851 Tornio";54.2;55.1
"Äänestysprosentti";"2021";"241 Keminmaa";55.9;57.4
"Äänestysprosentti";"2021";"320 Kemijärvi";51.0;52.2
"Äänestysprosentti";"2021";"758 Sodankylä";55.8;61.9
"Äänestysprosentti";"2021";"047 Enontekiö";64.5;71.7
"Äänestysprosentti";"2021";"148 Inari";55.4;59.6
"Äänestysprosentti";"2021";"261 Kittilä";59.1;55.7
"Äänestysprosentti";"2021";"273 Kolari";63.8;66.8
"Äänestysprosentti";"2021";"498 Muonio";50.6;57.4
"Äänestysprosentti";"2021";"583 Pelkosenniemi";55.9;62.1
"Äänestysprosentti";"2021";"614 Posio";51.8;53.4
"Äänestysprosentti";"2021";"683 Ranua";55.2;57.9
"Äänestysprosentti";"2021";"732 Salla";51.1;55.0
"Äänestysprosentti";"2021";"742 Savukoski";64.5;71.5
"Äänestysprosentti";"2021";"751 Simo";54.5;57.4
"Äänestysprosentti";"2021";"845 Tervola";57.9;60.7
"Äänestysprosentti";"2021";"854 Pello";60.6;62.5
"Äänestysprosentti";"2021";"890 Utsjoki";80.3;83.2
"Äänestysprosentti";"2021";"976 Ylitornio";64.1;65.1
