"Vuosi";"Alue";"Äänioikeutetut"
"2021";"218 Karijoki";1033
"2021";"236 Kaustinen";3286
"2021";"280 Korsnäs";1693
"2021";"287 Kristiinankaupunki";5442
"2021";"288 Kruunupyy";5044
"2021";"300 Kuortane";2915
"2021";"403 Lappajärvi";2391
"2021";"421 Lestijärvi";593
"2021";"475 Maalahti";4477
"2021";"584 Perho";1880
"2021";"599 Pedersören kunta";8055
"2021";"759 Soini";1632
"2021";"846 Teuva";4105
"2021";"849 Toholampi";2294
"2021";"893 Uusikaarlepyy";5847
"2021";"924 Veteli";2473
"2021";"934 Vimpeli";2267
"2021";"946 Vöyri";5053
"2021";"989 Ähtäri";4604
"2021";"179 Jyväskylä";116874
"2021";"182 Jämsä";16774
"2021";"249 Keuruu";7958
"2021";"410 Laukaa";13894
"2021";"500 Muurame";7678
"2021";"992 Äänekoski";15002
"2021";"077 Hankasalmi";3931
"2021";"172 Joutsa";3728
"2021";"216 Kannonkoski";1126
"2021";"226 Karstula";3223
"2021";"256 Kinnula";1263
"2021";"265 Kivijärvi";913
"2021";"275 Konnevesi";2158
"2021";"312 Kyyjärvi";1041
"2021";"435 Luhanka";621
"2021";"495 Multia";1274
"2021";"592 Petäjävesi";2903
"2021";"601 Pihtipudas";3225
"2021";"729 Saarijärvi";7629
"2021";"850 Toivakka";1876
"2021";"892 Uurainen";2561
"2021";"931 Viitasaari";5220
"2021";"205 Kajaani";29526
"2021";"244 Kempele";13575
"2021";"564 Oulu";163543
"2021";"678 Raahe";18952
"2021";"069 Haapajärvi";5353
"2021";"139 Ii";7235
"2021";"208 Kalajoki";9704
"2021";"290 Kuhmo";6924
"2021";"305 Kuusamo";12405
"2021";"425 Liminka";6398
"2021";"494 Muhos";6427
"2021";"535 Nivala";7656
"2021";"563 Oulainen";5630
"2021";"765 Sotkamo";8390
"2021";"977 Ylivieska";11497
"2021";"009 Alavieska";1926
"2021";"071 Haapavesi";5030
"2021";"072 Hailuoto";808
"2021";"105 Hyrynsalmi";1935
"2021";"317 Kärsämäki";1986
"2021";"436 Lumijoki";1353
"2021";"483 Merijärvi";762
"2021";"578 Paltamo";2719
"2021";"615 Pudasjärvi";6256
"2021";"620 Puolanka";2188
"2021";"625 Pyhäjoki";2374
"2021";"626 Pyhäjärvi";4144
"2021";"630 Pyhäntä";1148
"2021";"691 Reisjärvi";2081
"2021";"697 Ristijärvi";1083
"2021";"746 Sievi";3355
"2021";"748 Siikajoki";3764
"2021";"777 Suomussalmi";6586
"2021";"785 Vaala";2328
"2021";"791 Siikalatva";4228
"2021";"832 Taivalkoski";3219
"2021";"859 Tyrnävä";4236
"2021";"889 Utajärvi";2101
"2021";"240 Kemi";16780
"2021";"698 Rovaniemi";51147
"2021";"851 Tornio";17027
"2021";"241 Keminmaa";6348
"2021";"758 Sodankylä";6942
"2021";"047 Enontekiö";1549
"2021";"148 Inari";5892
"2021";"261 Kittilä";5235
"2021";"273 Kolari";3219
"2021";"320 Kemijärvi";6310
"2021";"498 Muonio";1900
"2021";"583 Pelkosenniemi";830
"2021";"614 Posio";2779
"2021";"683 Ranua";2907
"2021";"732 Salla";3028
"2021";"742 Savukoski";877
"2021";"751 Simo";2445
"2021";"845 Tervola";2351
"2021";"854 Pello";2903
"2021";"890 Utsjoki";1019
"2021";"976 Ylitornio";3396
