Kunta;Ikä;Yhteensä;Miehet;Naiset
Luhanka;Yhteensä;703;376;327
Lumijoki;Yhteensä;2018;1061;957
Lumparland;Yhteensä;376;199;177
Luoto;Yhteensä;5622;2894;2728
Luumäki;Yhteensä;4473;2265;2208
Maalahti;Yhteensä;5487;2810;2677
Maarianhamina - Mariehamn;Yhteensä;11742;5660;6082
Marttila;Yhteensä;1990;1016;974
Masku;Yhteensä;9612;4887;4725
Merijärvi;Yhteensä;1076;592;484
Merikarvia;Yhteensä;3055;1539;1516
Miehikkälä;Yhteensä;1835;952;883
Mikkeli;Yhteensä;52122;25492;26630
Muhos;Yhteensä;8909;4532;4377
Multia;Yhteensä;1488;771;717
Muonio;Yhteensä;2321;1150;1171
Mustasaari;Yhteensä;19536;9814;9722
Muurame;Yhteensä;10426;5267;5159
Mynämäki;Yhteensä;7594;3813;3781
Myrskylä;Yhteensä;1816;883;933
Mäntsälä;Yhteensä;20837;10449;10388
Mänttä-Vilppula;Yhteensä;9563;4755;4808
Mäntyharju;Yhteensä;7279;3672;3607
Naantali;Yhteensä;19579;9500;10079
Nakkila;Yhteensä;5169;2574;2595
Nivala;Yhteensä;10396;5299;5097
Nokia;Yhteensä;34884;17282;17602
Nousiainen;Yhteensä;4689;2423;2266
Nurmes;Yhteensä;9423;4759;4664
Nurmijärvi;Yhteensä;44127;22234;21893
Närpiö;Yhteensä;9562;4893;4669
Orimattila;Yhteensä;15808;7932;7876
Oripää;Yhteensä;1337;700;637
Orivesi;Yhteensä;8978;4431;4547
Oulainen;Yhteensä;7102;3525;3577
Oulu;Yhteensä;209551;104565;104986
Outokumpu;Yhteensä;6506;3270;3236
Padasjoki;Yhteensä;2813;1414;1399
Paimio;Yhteensä;11041;5490;5551
Paltamo;Yhteensä;3183;1621;1562
Parainen;Yhteensä;15086;7548;7538
Parikkala;Yhteensä;4567;2298;2269
Parkano;Yhteensä;6286;3202;3084
Pedersören kunta;Yhteensä;11172;5772;5400
Pelkosenniemi;Yhteensä;924;491;433
Pello;Yhteensä;3296;1684;1612
Perho;Yhteensä;2676;1359;1317
Petäjävesi;Yhteensä;3678;1877;1801
Pieksämäki;Yhteensä;17253;8533;8720
Pielavesi;Yhteensä;4269;2205;2064
Pietarsaari;Yhteensä;19097;9540;9557
Pihtipudas;Yhteensä;3873;1918;1955
Pirkkala;Yhteensä;20206;10037;10169
Polvijärvi;Yhteensä;4161;2125;2036
Pomarkku;Yhteensä;2013;1034;979
Pori;Yhteensä;83482;40809;42673
Pornainen;Yhteensä;5066;2618;2448
Porvoo;Yhteensä;51149;25082;26067
Posio;Yhteensä;3066;1583;1483
Pudasjärvi;Yhteensä;7702;4062;3640
Pukkila;Yhteensä;1848;951;897
Punkalaidun;Yhteensä;2721;1401;1320
Puolanka;Yhteensä;2446;1278;1168
Puumala;Yhteensä;2117;1076;1041
Pyhtää;Yhteensä;5119;2563;2556
Pyhäjoki;Yhteensä;3048;1601;1447
Pyhäjärvi;Yhteensä;4964;2500;2464
Pyhäntä;Yhteensä;1631;872;759
Pyhäranta;Yhteensä;1985;1033;952
Pälkäne;Yhteensä;6439;3241;3198
Pöytyä;Yhteensä;8222;4224;3998
Raahe;Yhteensä;24260;12372;11888
Raasepori;Yhteensä;27484;13581;13903
Raisio;Yhteensä;24810;12220;12590
Rantasalmi;Yhteensä;3330;1694;1636
Ranua;Yhteensä;3670;1908;1762
Rauma;Yhteensä;38959;19434;19525
Rautalampi;Yhteensä;3033;1527;1506
Rautavaara;Yhteensä;1513;811;702
Rautjärvi;Yhteensä;3092;1565;1527
Reisjärvi;Yhteensä;2690;1382;1308
Riihimäki;Yhteensä;28521;14203;14318
Ristijärvi;Yhteensä;1210;616;594
Rovaniemi;Yhteensä;64180;31102;33078
Ruokolahti;Yhteensä;4913;2439;2474
Ruovesi;Yhteensä;4155;2074;2081
Rusko;Yhteensä;6379;3178;3201
Rääkkylä;Yhteensä;2032;1065;967
Saarijärvi;Yhteensä;9117;4544;4573
Salla;Yhteensä;3416;1815;1601
Salo;Yhteensä;51400;25408;25992
Saltvik;Yhteensä;1810;902;908
Sastamala;Yhteensä;23998;12022;11976
Sauvo;Yhteensä;2959;1514;1445
Savitaipale;Yhteensä;3261;1637;1624
Savonlinna;Yhteensä;32547;15930;16617
Savukoski;Yhteensä;1009;567;442
Seinäjoki;Yhteensä;64736;31654;33082
Sievi;Yhteensä;4781;2503;2278
Siikainen;Yhteensä;1352;710;642
Siikajoki;Yhteensä;5028;2645;2383
Siikalatva;Yhteensä;5131;2717;2414
Siilinjärvi;Yhteensä;21293;10510;10783
Simo;Yhteensä;2904;1478;1426
Sipoo;Yhteensä;22190;11134;11056
Siuntio;Yhteensä;6198;3161;3037
Sodankylä;Yhteensä;8187;4304;3883
Soini;Yhteensä;1997;1022;975
Somero;Yhteensä;8563;4268;4295
Sonkajärvi;Yhteensä;3777;1976;1801
Sotkamo;Yhteensä;10348;5196;5152
Sottunga;Yhteensä;105;56;49
Sulkava;Yhteensä;2430;1214;1216
Sund;Yhteensä;1019;519;500
Suomussalmi;Yhteensä;7508;3861;3647
Suonenjoki;Yhteensä;6891;3454;3437
Sysmä;Yhteensä;3584;1757;1827
Säkylä;Yhteensä;6588;3254;3334
Taipalsaari;Yhteensä;4595;2342;2253
Taivalkoski;Yhteensä;3913;2071;1842
Taivassalo;Yhteensä;1677;867;810
Tammela;Yhteensä;5967;3039;2928
Tampere;Yhteensä;244223;118584;125639
Tervo;Yhteensä;1479;755;724
Tervola;Yhteensä;2882;1516;1366
Teuva;Yhteensä;4952;2538;2414
Tohmajärvi;Yhteensä;4241;2208;2033
Toholampi;Yhteensä;2938;1513;1425
Toivakka;Yhteensä;2387;1249;1138
Tornio;Yhteensä;21333;10768;10565
Turku;Yhteensä;195137;93656;101481
Tuusniemi;Yhteensä;2420;1233;1187
Tuusula;Yhteensä;39718;19906;19812
Tyrnävä;Yhteensä;6593;3392;3201
Ulvila;Yhteensä;12669;6292;6377
Urjala;Yhteensä;4669;2347;2322
Utajärvi;Yhteensä;2568;1343;1225
Utsjoki;Yhteensä;1176;629;547
Uurainen;Yhteensä;3634;1905;1729
Uusikaarlepyy;Yhteensä;7497;3851;3646
Uusikaupunki;Yhteensä;15463;7921;7542
Vaala;Yhteensä;2673;1389;1284
Vaasa;Yhteensä;67615;34131;33484
Valkeakoski;Yhteensä;20695;10278;10417
Vantaa;Yhteensä;239206;120079;119127
